"id_transaction","siren","periode","pays_contrepartie","type_flux","nature_service","montant_eur","devise_origine"
"TRX_000001","703507416","2023-08","CA","Export","Services informatiques",82832.63,"USD"
"TRX_000002","566062183","2024-10","JP","Import","Services informatiques",19760.57,"GBP"
"TRX_000003","474525303","2024-09","ES","Export","Support technique",538.08,"EUR"
"TRX_000004","797676830","2025-10","ES","Import","Fret",129718.26,"GBP"
"TRX_000005","329870562","2023-03","US","Import","Maintenance",52217.05,"GBP"
"TRX_000006","600444026","2025-05","ES","Import","Publicité",13410.34,"EUR"
"TRX_000007","410125118","2023-11","CA","Import","Courtage",28716.04,"GBP"
"TRX_000008","892617147","2025-05","PL","Export","Publicité",16912.72,"EUR"
"TRX_000009","375657968","2025-02","ZA","Export","Leasing",83966.62,"GBP"
"TRX_000010","591828838","2023-06","JP","Import","Services informatiques",94830.62,"GBP"
"TRX_000011","576361912","2025-12","BR","Import","Consulting",27428.21,"EUR"
"TRX_000012","558882815","2024-07","BE","Export","Courtage",744.27,"EUR"
"TRX_000013","330600273","2025-03","ES","Import","Fret",131047.74,"USD"
"TRX_000014","536511620","2024-10","ES","Import","Logistique",61907.63,"EUR"
"TRX_000015","566062183","2024-03","IT","Import","Services informatiques",262452.94,"USD"
"TRX_000016","793532236","2023-05","HK","Import","Support technique",97264.95,"GBP"
"TRX_000017","711765658","2025-08","IN","Export","Logistique",145515.32,"EUR"
"TRX_000018","702662157","2023-04","JP","Import","R&D",119527.77,"GBP"
"TRX_000019","310982527","2023-10","ZA","Export","Courtage",202557.47,"EUR"
"TRX_000020","521430532","2025-12","ES","Import","Courtage",84669.89,"EUR"
"TRX_000021","338158626","2025-10","IT","Import","Services informatiques",131755.34,"GBP"
"TRX_000022","469116354","2025-06","MX","Export","Leasing",69481.73,"EUR"
"TRX_000023","744461512","2025-08","PL","Import","R&D",111090.15,"USD"
"TRX_000024","764929686","2025-03","SE","Import","R&D",93550.83,"GBP"
"TRX_000025","566062183","2025-02","NL","Export","Maintenance",122798.36,"GBP"
"TRX_000026","861172712","2024-02","JP","Export","Support technique",76662.23,"GBP"
"TRX_000027","746566713","2024-07","HK","Import","Services informatiques",48383.66,"EUR"
"TRX_000028","581392676","2025-01","AU","Export","Leasing",13124.79,"USD"
"TRX_000029","576361912","2024-10","US","Import","Leasing",7605.9,"GBP"
"TRX_000030","586146491","2025-07","SG","Export","Fret",29539.27,"USD"
"TRX_000031","648451828","2023-12","GB","Import","Logistique",7961.48,"EUR"
"TRX_000032","596267799","2023-08","SE","Import","Logistique",80107.06,"USD"
"TRX_000033","524232458","2024-02","JP","Export","Logistique",210052.28,"GBP"
"TRX_000034","877218337","2023-09","CN","Import","Courtage",45716.75,"GBP"
"TRX_000035","509623141","2025-09","ES","Export","Services informatiques",103293.89,"EUR"
"TRX_000036","887981678","2023-09","ES","Export","Services informatiques",171627.68,"EUR"
"TRX_000037","767262414","2023-03","ZA","Import","Publicité",57387.73,"GBP"
"TRX_000038","347556303","2024-08","AU","Import","Services informatiques",140709.19,"USD"
"TRX_000039","407154879","2023-11","MX","Import","Support technique",114987.23,"GBP"
"TRX_000040","763799764","2024-04","JP","Export","Services informatiques",21957.35,"USD"
"TRX_000041","892617147","2023-05","CN","Import","Maintenance",10419.84,"GBP"
"TRX_000042","797676830","2025-07","IN","Export","Services informatiques",178132.86,"GBP"
"TRX_000043","807180823","2024-01","ES","Export","Services informatiques",70058.45,"EUR"
"TRX_000044","414415144","2025-02","HK","Import","Leasing",22632.81,"USD"
"TRX_000045","622740591","2023-01","AU","Export","Publicité",117528.56,"GBP"
"TRX_000046","323631095","2024-02","DE","Import","Courtage",111888.14,"EUR"
"TRX_000047","884061319","2024-03","US","Import","Logistique",70693.38,"EUR"
"TRX_000048","474486842","2025-11","HK","Export","Support technique",11709.73,"GBP"
"TRX_000049","382709835","2024-02","IT","Import","Support technique",113601.41,"USD"
"TRX_000050","596267799","2024-11","IN","Import","Services informatiques",23887.65,"GBP"
"TRX_000051","823568584","2024-03","BE","Export","Consulting",4134.33,"EUR"
"TRX_000052","774235526","2023-08","ES","Export","R&D",163035.82,"EUR"
