"siren","pays_partenaire","annee","type_relation","taux_detention","flux_equity","flux_pret_intragroupe","stock_ide","raison_sociale","secteur_activite"
"629877872","NL",2023,"Succursale",0.3626,167346.33,-49362.36,706770.49,"Société_Française_110","Hôtellerie"
"723490657","CA",2025,"Maison Mère",0.5202,8900.75,75823.13,738891.11,"Elior","Restauration collective"
"477037712","PL",2023,"Succursale",0.8568,-50188.64,-99098.42,460748.64,"Biomérieux","Santé"
"703507416","CH",2025,"Autre",0.8858,-60869.71,39021.08,475116.14,"Société_Française_99","Hôtellerie"
"630180145","IT",2023,"Filiale",0.4507,162535.48,4914.76,198551.36,"Société_Française_116","Santé"
"622740591","PL",2025,"Filiale",0.0875,11328.51,-7996.27,417168.9,"Société_Française_119","Technologie"
"847381352","CN",2023,"Autre",0.2329,64188.78,52721.55,211741.75,"Leclerc","Grande distribution"
"476535691","SG",2023,"Filiale",0.394,52712.69,13493.76,708139.97,"Société_Française_141","Santé"
"836586521","NL",2024,"Partenaire stratégique",0.0824,23572.42,23916.56,680022.17,"Société_Française_79","Technologie"
"516076352","IT",2024,"Partenaire stratégique",0.8021,93288.7,-5450.76,709650.74,"Société_Française_114","Environnement"
"698773401","BR",2025,"Joint Venture",0.1604,-127382.49,-123344.75,990326.61,"Thales","Défense"
"524232458","NL",2024,"Succursale",0.5168,-15731.89,155350.12,853742.27,"Geodis","Logistique"
"476518783","SE",2025,"Joint Venture",0.9995,-66350.9,8295.15,27205.08,"Société_Française_147","Construction"
"477037712","JP",2025,"Partenaire stratégique",0.1254,-155529.23,-158506.35,810590.98,"Biomérieux","Santé"
"703507416","BR",2023,"Autre",0.6433,15537.95,25097.36,583665.24,"Société_Française_99","Hôtellerie"
"462492166","SE",2025,"Maison Mère",0.7201,88798.5,67845.61,602165.29,"Société_Française_112","Santé"
"663658596","JP",2025,"Succursale",0.0539,-55581.75,58852.87,230655.63,"Dior","Luxe"
"859293323","ES",2024,"Maison Mère",0.7941,332242.08,32640.97,256638.5,"Renault","Automobile"
"676822243","BE",2023,"Maison Mère",0.7305,-40325.01,-34484.24,770825.62,"Société_Française_97","Santé"
"859293323","IN",2023,"Joint Venture",0.8496,-33044.89,-67542.79,296189.41,"Renault","Automobile"
"542642532","PL",2024,"Autre",0.9766,-280070.65,91316.69,349021.42,"Intermarché","Grande distribution"
"887981678","GB",2025,"Autre",0.7691,-81171.96,113428.44,93037.86,"Société_Française_107","Culture"
"629877872","CH",2023,"Partenaire stratégique",0.1354,228795.52,-59796.7,543836.1,"Société_Française_110","Hôtellerie"
"516076352","DE",2023,"Filiale",0.8995,149134.03,-14934.09,197638.74,"Société_Française_114","Environnement"
"440608028","ES",2024,"Maison Mère",0.3823,145769.93,-56648.99,457358.42,"Société_Française_101","Construction"
"884061319","BR",2025,"Partenaire stratégique",0.5188,213847.32,27252.69,1115363.5,"Terrena","Agriculture"
"701750464","PL",2024,"Joint Venture",0.9909,51959.81,23291.52,661556.88,"Société_Française_135","Construction"
"560040156","BE",2023,"Succursale",0.5613,-42542.82,-69446.81,261200.57,"Société_Française_129","Hôtellerie"
"637666647","BR",2023,"Autre",0.7751,97008.63,-119762.9,616360.75,"L'Oréal","Cosmétiques"
"782062519","HK",2024,"Joint Venture",0.4806,162533.31,41007.55,605124.5,"Dassault Aviation","Aérospatial"
"616907383","MX",2025,"Filiale",0.6436,243545.24,33608.45,425893.09,"Lactalis","Agroalimentaire"
"373676741","HK",2023,"Autre",0.4958,-48627.92,100645.6,717751.49,"Société_Française_128","Énergie"
"516233750","BE",2025,"Autre",0.7485,-165994.02,1523.83,333612.91,"SFR","Télécommunications"
"760373229","PL",2025,"Succursale",0.9405,-25049.8,-88727.34,60562.03,"Casino","Grande distribution"
"399658599","JP",2023,"Maison Mère",0.0625,149539.29,-46584.68,923181.43,"Société_Française_78","Services"
"474486842","CH",2023,"Joint Venture",0.0856,29808.85,-41895.84,368105.93,"Société_Française_132","Hôtellerie"
"469431876","CN",2024,"Autre",0.874,115634.03,-59240.94,536108.9,"Auchan","Grande distribution"
"508284398","BR",2024,"Succursale",0.5304,-36471.53,-135689.77,658426.2,"Société_Française_124","Environnement"
"508284398","CN",2024,"Autre",0.4663,198439.65,51100.96,524832.4,"Société_Française_124","Environnement"
"767464543","ZA",2023,"Succursale",0.7122,292345.47,-12059.2,505191.15,"La Poste","Logistique"
"315788838","BR",2023,"Partenaire stratégique",0.7871,-110161.11,-68833.1,833012.01,"Société_Française_80","Énergie"
