"siren","pays_partenaire","annee","type_relation","taux_detention","flux_equity","flux_pret_intragroupe","stock_ide"
"629877872","NL",2023,"Succursale",0.3626,167346.33,-49362.36,706770.49
"723490657","CA",2025,"Maison Mère",0.5202,8900.75,75823.13,738891.11
"477037712","PL",2023,"Succursale",0.8568,-50188.64,-99098.42,460748.64
"703507416","CH",2025,"Autre",0.8858,-60869.71,39021.08,475116.14
"630180145","IT",2023,"Filiale",0.4507,162535.48,4914.76,198551.36
"622740591","PL",2025,"Filiale",0.0875,11328.51,-7996.27,417168.9
"847381352","CN",2023,"Autre",0.2329,64188.78,52721.55,211741.75
"476535691","SG",2023,"Filiale",0.394,52712.69,13493.76,708139.97
"836586521","NL",2024,"Partenaire stratégique",0.0824,23572.42,23916.56,680022.17
"516076352","IT",2024,"Partenaire stratégique",0.8021,93288.7,-5450.76,709650.74
"698773401","BR",2025,"Joint Venture",0.1604,-127382.49,-123344.75,990326.61
"524232458","NL",2024,"Succursale",0.5168,-15731.89,155350.12,853742.27
"476518783","SE",2025,"Joint Venture",0.9995,-66350.9,8295.15,27205.08
"477037712","JP",2025,"Partenaire stratégique",0.1254,-155529.23,-158506.35,810590.98
"703507416","BR",2023,"Autre",0.6433,15537.95,25097.36,583665.24
"462492166","SE",2025,"Maison Mère",0.7201,88798.5,67845.61,602165.29
"663658596","JP",2025,"Succursale",0.0539,-55581.75,58852.87,230655.63
"859293323","ES",2024,"Maison Mère",0.7941,332242.08,32640.97,256638.5
"676822243","BE",2023,"Maison Mère",0.7305,-40325.01,-34484.24,770825.62
"859293323","IN",2023,"Joint Venture",0.8496,-33044.89,-67542.79,296189.41
"542642532","PL",2024,"Autre",0.9766,-280070.65,91316.69,349021.42
"887981678","GB",2025,"Autre",0.7691,-81171.96,113428.44,93037.86
"629877872","CH",2023,"Partenaire stratégique",0.1354,228795.52,-59796.7,543836.1
"516076352","DE",2023,"Filiale",0.8995,149134.03,-14934.09,197638.74
"440608028","ES",2024,"Maison Mère",0.3823,145769.93,-56648.99,457358.42
"884061319","BR",2025,"Partenaire stratégique",0.5188,213847.32,27252.69,1115363.5
"701750464","PL",2024,"Joint Venture",0.9909,51959.81,23291.52,661556.88
"560040156","BE",2023,"Succursale",0.5613,-42542.82,-69446.81,261200.57
"637666647","BR",2023,"Autre",0.7751,97008.63,-119762.9,616360.75
"782062519","HK",2024,"Joint Venture",0.4806,162533.31,41007.55,605124.5
"616907383","MX",2025,"Filiale",0.6436,243545.24,33608.45,425893.09
"373676741","HK",2023,"Autre",0.4958,-48627.92,100645.6,717751.49
"516233750","BE",2025,"Autre",0.7485,-165994.02,1523.83,333612.91
"760373229","PL",2025,"Succursale",0.9405,-25049.8,-88727.34,60562.03
"399658599","JP",2023,"Maison Mère",0.0625,149539.29,-46584.68,923181.43
"474486842","CH",2023,"Joint Venture",0.0856,29808.85,-41895.84,368105.93
"469431876","CN",2024,"Autre",0.874,115634.03,-59240.94,536108.9
"508284398","BR",2024,"Succursale",0.5304,-36471.53,-135689.77,658426.2
"508284398","CN",2024,"Autre",0.4663,198439.65,51100.96,524832.4
"767464543","ZA",2023,"Succursale",0.7122,292345.47,-12059.2,505191.15
"315788838","BR",2023,"Partenaire stratégique",0.7871,-110161.11,-68833.1,833012.01
"88416413","SE",2025,"Partenaire stratégique",0.9264,-13888.33,-59337.78,227799.93
"542642532","US",2025,"Succursale",0.1539,-96430.52,-3259.91,650457.19
"721548039","SG",2024,"Succursale",0.2697,137279.74,-8844.85,917538.7
"685807491","ES",2025,"Succursale",0.267,-183368.49,63646.6,803435.06
"887981678","HK",2025,"Maison Mère",0.3844,-60744.06,-88141.44,473741.33
"521430532","BE",2025,"Autre",0.7477,26315.98,-166830.03,495316.54
"793532236","MX",2025,"Maison Mère",0.963,10326.24,-107426.5,429256.61
"837130741","ZA",2023,"Joint Venture",0.6711,283430.72,51058.64,444010.58
"746916022","GB",2024,"Partenaire stratégique",0.7917,104281.51,83387,954006.6
"622525805","ES",2025,"Partenaire stratégique",0.8059,-104996.9,53340.82,1085546.64
"363488763","GB",2024,"Succursale",0.4358,-337702.86,-76296.28,474414.32
"764929686","HK",2025,"Maison Mère",0.9177,-103231.02,-99152.7,462166.18
"746566713","SE",2023,"Filiale",0.6085,288522.19,-119197.01,162488.88
"338158626","SE",2025,"Partenaire stratégique",0.4293,136255.77,-27575.53,195828.4
"521138762","HK",2024,"Filiale",0.6229,-66619.96,100159.39,153829.78
"586146491","NL",2024,"Filiale",0.574,-29448.94,19334.93,1081390.63
"807180823","SG",2025,"Maison Mère",0.6964,79103.86,-93172.98,361533.48
"503421033","US",2024,"Maison Mère",0.4476,276753.1,-52189.77,392779.99
"647310851","US",2025,"Autre",0.8575,-325937.65,-108377.2,89946.84
"347556303","SG",2024,"Maison Mère",0.856,105959.4,99602.68,256982.94
"694567969","BE",2025,"Autre",0.8706,-117517.99,58842.67,425120.87
"672446413","ZA",2023,"Partenaire stratégique",0.4273,107866.68,-96674.22,253496.19
"714974780","MX",2023,"Partenaire stratégique",0.1929,315602.3,-17799.02,675679.4
"596267799","AU",2025,"Autre",0.7085,-30354.94,-107420.09,391846.9
"462492166","DE",2023,"Joint Venture",0.6418,152755.9,-17103.24,661887.5
"393166433","SE",2025,"Filiale",0.1299,-175784.86,-3668.44,103506.21
"600444026","US",2023,"Maison Mère",0.091,-32046.9,-126984.98,715179.76
"462492166","IN",2024,"Filiale",0.2412,-175277.44,-37060.46,59379.77
"521430532","BE",2025,"Partenaire stratégique",0.1964,-50471.39,-131070.04,466585.69
"774235526","IN",2023,"Autre",0.3261,100041.46,-81901.24,73135.32
